[1/44] EKH1 2021-08-07 (v7.3) units 48->48->48 (SU 7) | trials 305->252 (early 53, stim 0, no-ephys 0) | WC 0.27 | invalid tongue/paw/me 0.90/0.20/0.01 | 2.2s {'curation': 0.16, 'neural': 0.21, 'video': 1.86, 'total': 2.24}
[2/44] EKH3 2021-08-11 (v7.3) units 66->66->66 (SU 17) | trials 426->390 (early 36, stim 0, no-ephys 0) | WC 0.23 | invalid tongue/paw/me 0.89/0.35/0.01 | 3.3s {'curation': 0.26, 'neural': 0.41, 'video': 2.61, 'total': 3.3}
[3/44] JEB6 2021-04-18 (v7.3) units 33->32->29 (SU 5) | trials 382->302 (early 25, stim 58, no-ephys 0) | WC 0.33 | invalid tongue/paw/me 0.88/0.05/0.01 | 2.5s {'curation': 0.1, 'neural': 0.13, 'video': 2.28, 'total': 2.52}
[4/44] JEB7 2021-04-29 (v7.3) units 67->67->66 (SU 22) | trials 346->245 (early 62, stim 48, no-ephys 0) | WC 0.33 | invalid tongue/paw/me 0.86/0.04/0.01 | 3.0s {'curation': 0.24, 'neural': 0.37, 'video': 2.34, 'total': 2.97}
[5/44] JEB7 2021-04-30 (v7.3) units 27->27->27 (SU 9) | trials 254->210 (early 18, stim 27, no-ephys 0) | WC 0.34 | invalid tongue/paw/me 0.87/0.02/0.01 | 1.9s {'curation': 0.11, 'neural': 0.1, 'video': 1.66, 'total': 1.87}
[6/44] JGR2 2021-11-16 (v7.3) units 29->29->29 (SU 3) | trials 267->214 (early 53, stim 0, no-ephys 0) | WC 0.28 | invalid tongue/paw/me 0.94/0.25/0.01 | 1.9s {'curation': 0.1, 'neural': 0.12, 'video': 1.66, 'total': 1.88}
[7/44] JGR2 2021-11-17 (v7.3) units 53->53->53 (SU 2) | trials 254->226 (early 28, stim 0, no-ephys 0) | WC 0.25 | invalid tongue/paw/me 0.93/0.27/0.01 | 1.9s {'curation': 0.15, 'neural': 0.2, 'video': 1.57, 'total': 1.93}
[8/44] JGR3 2021-11-18 (v7.3) units 28->28->28 (SU 2) | trials 261->230 (early 30, stim 2, no-ephys 0) | WC 0.30 | invalid tongue/paw/me 0.92/0.23/0.01 | 1.9s {'curation': 0.13, 'neural': 0.1, 'video': 1.62, 'total': 1.86}
[9/44] JEB13 2022-09-13 (v7.3) units 457->51->48 (SU 6) | trials 416->389 (early 27, stim 0, no-ephys 0) | WC 0.05 | invalid tongue/paw/me 0.91/0.53/0.01 | 3.5s {'curation': 0.28, 'neural': 0.28, 'video': 2.93, 'total': 3.51}
[10/44] JEB13 2022-09-14 (v7.3) units 521->85->85 (SU 22) | trials 403->380 (early 23, stim 0, no-ephys 0) | WC 0.12 | invalid tongue/paw/me 0.94/0.40/0.01 | 3.6s {'curation': 0.36, 'neural': 0.46, 'video': 2.78, 'total': 3.64}
[11/44] JEB13 2022-09-21 (v7.3) units 740->118->115 (SU 24) | trials 252->242 (early 10, stim 0, no-ephys 0) | WC 0.01 | invalid tongue/paw/me 0.89/0.87/0.01 | 2.7s {'curation': 0.42, 'neural': 0.42, 'video': 1.79, 'total': 2.66}
[12/44] JEB13 2022-09-24 (v7.3) units 495->34->31 (SU 1) | trials 403->363 (early 40, stim 0, no-ephys 0) | WC 0.00 | invalid tongue/paw/me 0.90/0.49/0.01 | 3.2s {'curation': 0.24, 'neural': 0.15, 'video': 2.84, 'total': 3.23}
[13/44] JEB13 2022-09-25 (v7.3) units 673->53->51 (SU 9) | trials 377->360 (early 17, stim 0, no-ephys 0) | WC 0.00 | invalid tongue/paw/me 0.92/0.42/0.01 | 3.2s {'curation': 0.3, 'neural': 0.23, 'video': 2.61, 'total': 3.16}
[14/44] JEB14 2022-08-22 (v7.3) units 494->86->83 (SU 17) | trials 517->474 (early 43, stim 0, no-ephys 0) | WC 0.00 | invalid tongue/paw/me 0.90/0.03/0.01 | 4.0s {'curation': 0.31, 'neural': 0.49, 'video': 3.19, 'total': 4.03}
[15/44] JEB14 2022-08-23 (v7.3) units 488->79->77 (SU 12) | trials 496->465 (early 31, stim 0, no-ephys 0) | WC 0.01 | invalid tongue/paw/me 0.92/0.03/0.01 | 3.9s {'curation': 0.35, 'neural': 0.43, 'video': 3.08, 'total': 3.9}
[16/44] JEB14 2022-08-24 (v7.3) units 138->137->134 (SU 23) | trials 351->314 (early 37, stim 0, no-ephys 0) | WC 0.04 | invalid tongue/paw/me 0.95/0.09/0.01 | 3.1s {'curation': 0.33, 'neural': 0.55, 'video': 2.17, 'total': 3.1}
[17/44] JEB14 2022-08-25 (v7.3) units 652->98->96 (SU 21) | trials 285->265 (early 20, stim 0, no-ephys 0) | WC 0.19 | invalid tongue/paw/me 0.93/0.08/0.01 | 2.5s {'curation': 0.38, 'neural': 0.35, 'video': 1.76, 'total': 2.52}
[18/44] JEB15 2022-07-26 (v7.3) units 142->142->141 (SU 24) | trials 321->318 (early 3, stim 0, no-ephys 0) | WC 0.07 | invalid tongue/paw/me 0.92/0.01/0.01 | 2.9s {'curation': 0.35, 'neural': 0.6, 'video': 1.94, 'total': 2.92}
[19/44] JEB15 2022-07-27 (v7.3) units 68->68->68 (SU 17) | trials 313->301 (early 12, stim 0, no-ephys 0) | WC 0.10 | invalid tongue/paw/me 0.95/0.01/0.01 | 2.5s {'curation': 0.26, 'neural': 0.29, 'video': 1.92, 'total': 2.49}
[20/44] JEB15 2022-07-28 (v7.3) units 54->54->54 (SU 7) | trials 250->246 (early 4, stim 0, no-ephys 0) | WC 0.18 | invalid tongue/paw/me 0.96/0.02/0.01 | 1.9s {'curation': 0.14, 'neural': 0.19, 'video': 1.5, 'total': 1.85}
[21/44] JEB15 2022-07-29 (v7.3) units 32->32->31 (SU 3) | trials 250->193 (early 5, stim 52, no-ephys 0) | WC 0.13 | invalid tongue/paw/me 0.93/0.03/0.01 | 1.7s {'curation': 0.09, 'neural': 0.11, 'video': 1.52, 'total': 1.73}
[22/44] JEB19 2023-04-18 (v7.3) units 436->36->36 (SU 4) | trials 301->284 (early 17, stim 0, no-ephys 0) | WC 0.39 | invalid tongue/paw/me 0.95/0.05/0.01 | 2.2s {'curation': 0.17, 'neural': 0.13, 'video': 1.93, 'total': 2.24}
[23/44] JEB19 2023-04-19 (v7.3) units 567->38->36 (SU 1) | trials 230->216 (early 14, stim 0, no-ephys 0) | WC 0.39 | invalid tongue/paw/me 0.97/0.02/0.01 | 1.8s {'curation': 0.18, 'neural': 0.11, 'video': 1.5, 'total': 1.8}
[24/44] JEB19 2023-04-20 (v7.3) units 475->69->67 (SU 10) | trials 324->297 (early 27, stim 0, no-ephys 0) | WC 0.36 | invalid tongue/paw/me 0.97/0.01/0.01 | 2.6s {'curation': 0.24, 'neural': 0.27, 'video': 2.08, 'total': 2.62}
[25/44] JEB19 2023-04-21 (v7.3) units 458->35->33 (SU 2) | trials 276->250 (early 26, stim 0, no-ephys 0) | WC 0.34 | invalid tongue/paw/me 0.95/0.02/0.01 | 2.2s {'curation': 0.25, 'neural': 0.12, 'video': 1.82, 'total': 2.2}
[26/44] JEB11 2022-05-10 (v7.3) units 63->63->63 (SU 7) | trials 365->323 (early 42, stim 0, no-ephys 0) | WC 0.05 | invalid tongue/paw/me 0.87/0.18/0.08 | 3.0s {'curation': 0.28, 'neural': 0.36, 'video': 2.37, 'total': 3.03}
[27/44] JEB11 2022-05-11 (v7.3) units 70->70->67 (SU 12) | trials 329->321 (early 8, stim 0, no-ephys 0) | WC 0.11 | invalid tongue/paw/me 0.86/0.36/0.07 | 2.7s {'curation': 0.27, 'neural': 0.33, 'video': 2.11, 'total': 2.73}
[28/44] JEB12 2022-05-12 (v7.3) units 57->57->57 (SU 9) | trials 318->295 (early 23, stim 0, no-ephys 1) | WC 0.03 | invalid tongue/paw/me 0.91/0.49/0.07 | 2.5s {'curation': 0.23, 'neural': 0.28, 'video': 1.93, 'total': 2.45}
[29/44] JEB12 2022-05-13 (v7.3) units 40->40->39 (SU 3) | trials 355->338 (early 17, stim 0, no-ephys 0) | WC 0.03 | invalid tongue/paw/me 0.92/0.46/0.08 | 2.5s {'curation': 0.14, 'neural': 0.18, 'video': 2.12, 'total': 2.46}
[30/44] JEB23 2023-10-10 (v7.3) units 543->98->93 (SU 11) | trials 359->349 (early 10, stim 0, no-ephys 0) | WC 0.00 | invalid tongue/paw/me 0.86/0.15/0.08 | 3.1s {'curation': 0.35, 'neural': 0.43, 'video': 2.3, 'total': 3.11}
[31/44] JEB23 2023-10-11 (v7.3) units 449->57->57 (SU 2) | trials 407->381 (early 26, stim 0, no-ephys 0) | WC 0.00 | invalid tongue/paw/me 0.90/0.07/0.07 | 3.2s {'curation': 0.34, 'neural': 0.28, 'video': 2.57, 'total': 3.22}
[32/44] JEB23 2023-10-12 (v7.3) units 437->71->71 (SU 6) | trials 337->325 (early 12, stim 0, no-ephys 0) | WC 0.00 | invalid tongue/paw/me 0.89/0.12/0.08 | 2.7s {'curation': 0.29, 'neural': 0.31, 'video': 2.11, 'total': 2.74}
[33/44] JEB23 2023-10-13 (v7.3) units 465->37->35 (SU 1) | trials 303->291 (early 12, stim 0, no-ephys 0) | WC 0.02 | invalid tongue/paw/me 0.91/0.16/0.08 | 2.2s {'curation': 0.17, 'neural': 0.13, 'video': 1.86, 'total': 2.17}
[34/44] JEB23 2023-10-18 (v7) units 54->54->51 (SU 11) | trials 416->404 (early 12, stim 0, no-ephys 0) | WC 0.00 | invalid tongue/paw/me 0.91/0.16/0.08 | 1.8s {'curation': 1.57, 'neural': 0.16, 'video': 0.07, 'total': 1.83}
[35/44] JEB23 2023-10-19 (v7.3) units 560->50->49 (SU 9) | trials 352->340 (early 12, stim 0, no-ephys 0) | WC 0.00 | invalid tongue/paw/me 0.89/0.21/0.08 | 2.6s {'curation': 0.23, 'neural': 0.19, 'video': 2.17, 'total': 2.6}
[36/44] JEB23 2023-10-21 (v7) units 62->62->59 (SU 23) | trials 401->384 (early 17, stim 0, no-ephys 0) | WC 0.00 | invalid tongue/paw/me 0.91/0.12/0.07 | 1.8s {'curation': 1.53, 'neural': 0.18, 'video': 0.07, 'total': 1.8}
[37/44] JEB24 2023-10-23 (v7) units 17->17->17 (SU 1) | trials 343->292 (early 23, stim 0, no-ephys 29) | WC 0.01 | invalid tongue/paw/me 0.87/0.12/0.08 | 1.5s {'curation': 1.35, 'neural': 0.04, 'video': 0.06, 'total': 1.46}
[38/44] JEB24 2023-10-24 (v7) units 31->31->31 (SU 6) | trials 350->343 (early 7, stim 0, no-ephys 0) | WC 0.01 | invalid tongue/paw/me 0.90/0.09/0.07 | 1.5s {'curation': 1.39, 'neural': 0.08, 'video': 0.07, 'total': 1.54}
[39/44] JEB24 2023-10-25 (v7) units 25->25->24 (SU 4) | trials 402->392 (early 10, stim 0, no-ephys 0) | WC 0.00 | invalid tongue/paw/me 0.90/0.15/0.08 | 1.8s {'curation': 1.6, 'neural': 0.07, 'video': 0.07, 'total': 1.76}
[40/44] JEB24 2023-10-26 (v7) units 55->55->54 (SU 30) | trials 301->287 (early 14, stim 0, no-ephys 0) | WC 0.00 | invalid tongue/paw/me 0.88/0.11/0.07 | 1.4s {'curation': 1.18, 'neural': 0.12, 'video': 0.05, 'total': 1.37}
[41/44] JEB24 2023-10-27 (v7) units 35->35->34 (SU 9) | trials 311->305 (early 6, stim 0, no-ephys 0) | WC 0.00 | invalid tongue/paw/me 0.88/0.11/0.08 | 1.3s {'curation': 1.16, 'neural': 0.07, 'video': 0.06, 'total': 1.3}
