Converting 152 sessions
[1/152] m11 ses-03 Env1_LocationB_to_A: 154 neurons (155 iscell, 1 interneurons), 80/80 trials (-0 lick err), t=0.3s [read 0.1 dff 0.1 int 0.0] | elapsed 0s, eta 44s
[2/152] m11 ses-04 Env1_LocationA: 167 neurons (168 iscell, 1 interneurons), 80/80 trials (-0 lick err), t=0.3s [read 0.1 dff 0.1 int 0.0] | elapsed 0s, eta 27s
[3/152] m11 ses-05 Env1_LocationA_to_C: 189 neurons (189 iscell, 0 interneurons), 80/80 trials (-0 lick err), t=0.3s [read 0.1 dff 0.2 int 0.0] | elapsed 0s, eta 19s
[4/152] m11 ses-06 Env1_LocationC: 175 neurons (176 iscell, 1 interneurons), 79/80 trials (-1 lick err), t=0.3s [read 0.1 dff 0.2 int 0.0] | elapsed 0s, eta 14s
[5/152] m11 ses-07 Env1_LocationC_to_B: 173 neurons (174 iscell, 1 interneurons), 80/80 trials (-0 lick err), t=0.3s [read 0.1 dff 0.1 int 0.0] | elapsed 0s, eta 12s
[6/152] m11 ses-08 Env1_B_to_Env2_C: 180 neurons (181 iscell, 1 interneurons), 80/80 trials (-0 lick err), t=0.4s [read 0.2 dff 0.1 int 0.0] | elapsed 0s, eta 11s
[7/152] m11 ses-09 Env2_LocationC: 190 neurons (190 iscell, 0 interneurons), 79/80 trials (-1 lick err), t=0.4s [read 0.2 dff 0.1 int 0.0] | elapsed 0s, eta 9s
[8/152] m11 ses-10 Env2_LocationC_to_A: 195 neurons (198 iscell, 3 interneurons), 80/80 trials (-0 lick err), t=0.4s [read 0.1 dff 0.2 int 0.0] | elapsed 0s, eta 8s
[9/152] m11 ses-11 Env2_LocationA: 203 neurons (204 iscell, 1 interneurons), 80/80 trials (-0 lick err), t=0.4s [read 0.1 dff 0.2 int 0.0] | elapsed 0s, eta 7s
[10/152] m11 ses-12 Env2_LocationA_to_B: 208 neurons (209 iscell, 1 interneurons), 79/80 trials (-1 lick err), t=0.4s [read 0.2 dff 0.2 int 0.0] | elapsed 0s, eta 7s
[11/152] m11 ses-13 Env2_LocationB: 243 neurons (245 iscell, 2 interneurons), 80/80 trials (-0 lick err), t=0.5s [read 0.2 dff 0.2 int 0.0] | elapsed 1s, eta 6s
